name,positiopnx, y , z, imaage , date
dog0,1000 , 50 , 0 , static/images/creer/dog0.png,2026-01-01 17:27:59
odon2,1000 , 50 , 0 , static/images/creer/odon2.png,2026-01-01 17:27:59
odon3,1000 , 50 , 0 , static/images/creer/odon3.png,2026-01-01 17:27:59
python,1000 , 50 , 0 , static/images/creer/python.png,2026-01-01 17:27:59
01_group,1000 , 50 , 0 , static/images/folc/01_group.png,2026-01-01 17:27:59
02_staring-guys,1000 , 50 , 0 , static/images/folc/02_staring-guys.png,2026-01-01 17:27:59
03_shouting_guy,1000 , 50 , 0 , static/images/folc/03_shouting_guy.png,2026-01-01 17:27:59
04_pointing_guy,1000 , 50 , 0 , static/images/folc/04_pointing_guy.png,2026-01-01 17:27:59
05_gesturing_guy,1000 , 50 , 0 , static/images/folc/05_gesturing_guy.png,2026-01-01 17:27:59
06_megaphone_guy,1000 , 50 , 0 , static/images/folc/06_megaphone_guy.png,2026-01-01 17:27:59
07_guy_with_shield,1000 , 50 , 0 , static/images/folc/07_guy_with_shield.png,2026-01-01 17:27:59
08_woman1,1000 , 50 , 0 , static/images/folc/08_woman1.png,2026-01-01 17:27:59
09_cleric,1000 , 50 , 0 , static/images/folc/09_cleric.png,2026-01-01 17:27:59
10_carrying_guy,1000 , 50 , 0 , static/images/folc/10_carrying_guy.png,2026-01-01 17:27:59
11_guy_with_ring,1000 , 50 , 0 , static/images/folc/11_guy_with_ring.png,2026-01-01 17:27:59
12_guy_with_animal,1000 , 50 , 0 , static/images/folc/12_guy_with_animal.png,2026-01-01 17:27:59
13_boy_with_sheep,1000 , 50 , 0 , static/images/folc/13_boy_with_sheep.png,2026-01-01 17:27:59
14_guy_with_axe,1000 , 50 , 0 , static/images/folc/14_guy_with_axe.png,2026-01-01 17:27:59
15_pointing_guy,1000 , 50 , 0 , static/images/folc/15_pointing_guy.png,2026-01-01 17:27:59
16_fruitbasket_guy,1000 , 50 , 0 , static/images/folc/16_fruitbasket_guy.png,2026-01-01 17:27:59
17_king1,1000 , 50 , 0 , static/images/folc/17_king1.png,2026-01-01 17:27:59
18_king2,1000 , 50 , 0 , static/images/folc/18_king2.png,2026-01-01 17:27:59
19_king3,1000 , 50 , 0 , static/images/folc/19_king3.png,2026-01-01 17:27:59
20_benchguys,1000 , 50 , 0 , static/images/folc/20_benchguys.png,2026-01-01 17:27:59
21_fireguy,1000 , 50 , 0 , static/images/folc/21_fireguy.png,2026-01-01 17:27:59
22_woman_with_child,1000 , 50 , 0 , static/images/folc/22_woman_with_child.png,2026-01-01 17:27:59
23_guy_with_chickens,1000 , 50 , 0 , static/images/folc/23_guy_with_chickens.png,2026-01-01 17:27:59
24_shouting_guy,1000 , 50 , 0 , static/images/folc/24_shouting_guy.png,2026-01-01 17:27:59
25_Man_pointing,1000 , 50 , 0 , static/images/folc/25_Man_pointing.png,2026-01-01 17:27:59
26_Serf,1000 , 50 , 0 , static/images/folc/26_Serf.png,2026-01-01 17:27:59
27_SittingNoble01,1000 , 50 , 0 , static/images/folc/27_SittingNoble01.png,2026-01-01 17:27:59
28_SittingNoble02,1000 , 50 , 0 , static/images/folc/28_SittingNoble02.png,2026-01-01 17:27:59
29_SittingNoble03,1000 , 50 , 0 , static/images/folc/29_SittingNoble03.png,2026-01-01 17:27:59
01_tree,1000 , 50 , 0 , static/images/misc/01_tree.png,2026-01-01 17:27:59
02_tree,1000 , 50 , 0 , static/images/misc/02_tree.png,2026-01-01 17:27:59
03_tree,1000 , 50 , 0 , static/images/misc/03_tree.png,2026-01-01 17:27:59
04_tree,1000 , 50 , 0 , static/images/misc/04_tree.png,2026-01-01 17:27:59
05_tree,1000 , 50 , 0 , static/images/misc/05_tree.png,2026-01-01 17:27:59
06_boat,1000 , 50 , 0 , static/images/misc/06_boat.png,2026-01-01 17:27:59
07_boat,1000 , 50 , 0 , static/images/misc/07_boat.png,2026-01-01 17:27:59
07_boat_with_horses,1000 , 50 , 0 , static/images/misc/07_boat_with_horses.png,2026-01-01 17:27:59
08_boat,1000 , 50 , 0 , static/images/misc/08_boat.png,2026-01-01 17:27:59
09_shield,1000 , 50 , 0 , static/images/misc/09_shield.png,2026-01-01 17:27:59
10_shield,1000 , 50 , 0 , static/images/misc/10_shield.png,2026-01-01 17:27:59
11_shields,1000 , 50 , 0 , static/images/misc/11_shields.png,2026-01-01 17:27:59
12_tree1,1000 , 50 , 0 , static/images/misc/12_tree1.png,2026-01-01 17:27:59
13_tree,1000 , 50 , 0 , static/images/misc/13_tree.png,2026-01-01 17:27:59
14_guy_on_pole,1000 , 50 , 0 , static/images/misc/14_guy_on_pole.png,2026-01-01 17:27:59
15_halleys_comet,1000 , 50 , 0 , static/images/misc/15_halleys_comet.png,2026-01-01 17:27:59
16_sword,1000 , 50 , 0 , static/images/misc/16_sword.png,2026-01-01 17:27:59
17_sword_helmet,1000 , 50 , 0 , static/images/misc/17_sword_helmet.png,2026-01-01 17:27:59
18_Barbecue,1000 , 50 , 0 , static/images/misc/18_Barbecue.png,2026-01-01 17:27:59
Odo_bayeux_tapestry,1000 , 50 , 0 , static/images/tapisserie/Odo_bayeux_tapestry.png,2026-01-01 17:27:59
